***********************************************************
[INFO] TRAINING ON RANDOM INSTANCES: Portfolio
[INFO] n_items: 20
[INFO] lambda_1: 1
[INFO] lambda_2: 5
[INFO] lambda_3: 5
[INFO] lambda_4: 5
[INFO] capacity_ratio: 0.500000
[INFO] seed: 1
***********************************************************
[INFO] TRAINING PARAMETERS
[INFO] Algorithm: PPO
[INFO] learning rate: 0.000100
[INFO] eps_clip: 0.100000
[INFO] entropy_value: 0.001000
[INFO] hidden_layer: 2
[INFO] k_epochs: 4
[INFO] batch_size: 128
[INFO] update_timestep: 2048
[INFO] latent_dim: 128
***********************************************************
***********************************************************
[INFO] NUMBER OF FEATURES
[INFO] n_feat: 9
***********************************************************
[INFO] iter time avg_reward_learning
[DATA] 0 3.35 8.13179781083894
[DATA] 10 6.94 0.44319983393392576
[DATA] 20 10.2 10.531166001249527
[DATA] 30 13.61 9.770151539484244
[DATA] 40 17.19 4.912780359102942
[DATA] 50 20.78 9.086909261424518
[DATA] 60 24.32 -7.840551034833978
[DATA] 70 27.97 -10.149201839240904
[DATA] 80 31.7 4.683839816457656
[DATA] 90 35.26 -4.038935331653053
[DATA] 100 39.34 2.4687433461571526
[DATA] 200 51.69 11.736628315095338
[DATA] 300 63.44 2.320960518437168
[DATA] 400 74.81 6.9190570646927725
[DATA] 500 86.09 -4.462798819586875
[DATA] 600 97.01 27.95486963872772
[DATA] 700 108.2 28.680903377583654
[DATA] 800 119.0 29.65326903045249
[DATA] 900 129.86 24.97728139918387
[DATA] 1000 140.75 28.77918826542072
[DATA] 1100 151.79 18.769308757298425
[DATA] 1200 162.68 21.529031495690134
[DATA] 1300 173.68 46.26415248719527
[DATA] 1400 184.78 13.115504561758458
[DATA] 1500 195.69 21.414871155662322
[DATA] 1600 206.63 59.00824951897273
[DATA] 1700 218.1 35.08443205548471
[DATA] 1800 230.75 47.42972039834194
[DATA] 1900 242.8 31.248173301207625
[DATA] 2000 253.92 39.14185156154811
[DATA] 2100 264.92 29.79662295389164
[DATA] 2200 275.61 66.8346939758353
[DATA] 2300 286.65 19.815613644322404
[DATA] 2400 297.53 54.21631912961245
[DATA] 2500 308.81 35.16991331428076
[DATA] 2600 320.01 41.80286187667782
[DATA] 2700 330.86 35.64381823650384
[DATA] 2800 341.79 39.70030013461114
[DATA] 2900 352.73 52.91820964840351
[DATA] 3000 363.35 39.976294370065766
[DATA] 3100 374.13 40.44478145351104
[DATA] 3200 385.15 47.859796478226606
[DATA] 3300 396.15 56.60526339562708
[DATA] 3400 407.88 38.38886711550305
[DATA] 3500 418.7 51.50643214609665
[DATA] 3600 429.65 49.263306348008626
[DATA] 3700 440.64 37.36278643156283
[DATA] 3800 452.21 32.06052312667502
[DATA] 3900 463.42 54.355632297972896
[DATA] 4000 474.67 46.61670342459297
[DATA] 4100 485.7 55.67431879203911
[DATA] 4200 496.59 50.07099809729447
[DATA] 4300 507.58 54.8995466001964
[DATA] 4400 514.34 37.5524034815239
[DATA] 4500 525.34 48.11800261292008
[DATA] 4600 536.26 62.871164962134706
[DATA] 4700 547.55 38.922251060745886
[DATA] 4800 559.02 40.394901801380826
[DATA] 4900 570.54 41.807739614535755
[DATA] 5000 581.69 58.05851555173409
[DATA] 5100 592.44 51.807898695006685
[DATA] 5200 604.06 58.57340077969293
[DATA] 5300 615.72 48.34019384209614
[DATA] 5400 626.71 49.627910893816924
[DATA] 5500 637.54 37.22599950955372
[DATA] 5600 648.37 45.39058099454666
[DATA] 5700 659.46 35.58709602472168
[DATA] 5800 670.48 49.7678423932352
[DATA] 5900 681.19 57.70658544691777
[DATA] 6000 692.47 25.197422090377003
[DATA] 6100 703.19 50.099615735835876
[DATA] 6200 714.11 34.91719133224559
[DATA] 6300 724.94 48.779853217114116
[DATA] 6400 736.12 51.46661806639151
[DATA] 6500 747.13 32.397089018878276
[DATA] 6600 757.97 45.947768604035275
[DATA] 6700 769.05 58.718509672320344
[DATA] 6800 780.03 58.46783548037296
[DATA] 6900 791.37 51.37899843660001
[DATA] 7000 802.51 41.656954524686064
[DATA] 7100 813.53 53.289816865749145
[DATA] 7200 824.13 52.46056133973261
[DATA] 7300 835.07 41.50542853855398
[DATA] 7400 846.2 45.91034521473655
[DATA] 7500 857.16 49.83484490092873
[DATA] 7600 868.09 47.82134266291125
[DATA] 7700 878.91 49.714067199624296
[DATA] 7800 889.77 55.334173979039114
[DATA] 7900 900.29 49.47062400502269
[DATA] 8000 911.7 51.16348089592635
[DATA] 8100 923.19 50.465506548147026
[DATA] 8200 934.91 56.05957407881586
[DATA] 8300 945.93 55.62038642938047
[DATA] 8400 957.36 47.412975485043695
[DATA] 8500 969.43 44.95321938872201
[DATA] 8600 976.31 52.55506709310291
[DATA] 8700 988.71 48.53611036900118
[DATA] 8800 1000.01 48.67195919625708
[DATA] 8900 1012.32 52.051350736743736
[DATA] 9000 1024.52 48.002509863604615
[DATA] 9100 1036.04 47.53245968756073
[DATA] 9200 1048.39 43.93001405998368
[DATA] 9300 1060.54 56.653797886659206
[DATA] 9400 1072.04 49.368704374429655
[DATA] 9500 1083.76 48.97287053598373
[DATA] 9600 1094.65 53.72794333701621
[DATA] 9700 1105.67 56.009835225384926
[DATA] 9800 1116.45 55.21494906411661
[DATA] 9900 1126.84 47.6631598685174
[DATA] 10000 1137.87 47.98688182743552
[DATA] 10100 1148.56 49.27461418758896
[DATA] 10200 1159.61 52.23440576069308
[DATA] 10300 1170.66 52.738033214170756
[DATA] 10400 1181.55 56.557287536057466
[DATA] 10500 1192.52 50.2723483948073
[DATA] 10600 1203.69 53.24310310903826
[DATA] 10700 1214.43 53.711378896202916
[DATA] 10800 1225.61 52.128550560501026
[DATA] 10900 1236.53 52.128550560501026
[DATA] 11000 1247.41 52.128550560501026
[DATA] 11100 1258.64 52.128550560501026
[DATA] 11200 1269.71 52.128550560501026
[DATA] 11300 1280.58 52.128550560501026
[DATA] 11400 1291.82 52.128550560501026
[DATA] 11500 1303.27 52.128550560501026
[DATA] 11600 1314.33 52.128550560501026
[DATA] 11700 1325.34 52.128550560501026
[DATA] 11800 1336.2 52.128550560501026
[DATA] 11900 1347.12 52.128550560501026
[DATA] 12000 1358.27 52.128550560501026
[DATA] 12100 1369.42 52.128550560501026
[DATA] 12200 1380.25 52.128550560501026
[DATA] 12300 1391.07 52.128550560501026
[DATA] 12400 1402.03 52.128550560501026
[DATA] 12500 1412.96 52.128550560501026
[DATA] 12600 1423.73 52.128550560501026
[DATA] 12700 1435.08 52.128550560501026
[DATA] 12800 1445.4 52.128550560501026
[DATA] 12900 1451.49 52.128550560501026
[DATA] 13000 1462.33 52.128550560501026
[DATA] 13100 1473.48 52.128550560501026
[DATA] 13200 1484.73 52.128550560501026
[DATA] 13300 1495.79 52.128550560501026
[DATA] 13400 1507.2 52.128550560501026
[DATA] 13500 1518.22 52.128550560501026
[DATA] 13600 1529.7 52.128550560501026
[DATA] 13700 1540.87 52.128550560501026
[DATA] 13800 1551.88 52.128550560501026
[DATA] 13900 1564.74 52.128550560501026
[DATA] 14000 1576.68 52.128550560501026
[DATA] 14100 1587.92 52.128550560501026
[DATA] 14200 1599.05 52.128550560501026
[DATA] 14300 1610.36 52.128550560501026
[DATA] 14400 1621.33 52.128550560501026
[DATA] 14500 1632.15 52.128550560501026
[DATA] 14600 1642.96 52.128550560501026
[DATA] 14700 1653.55 52.128550560501026
[DATA] 14800 1664.67 52.128550560501026
[DATA] 14900 1675.58 52.128550560501026
[DATA] 15000 1686.62 52.128550560501026
[DATA] 15100 1697.66 52.128550560501026
[DATA] 15200 1709.22 52.128550560501026
[DATA] 15300 1720.35 52.128550560501026
[DATA] 15400 1731.14 52.128550560501026
[DATA] 15500 1741.38 52.128550560501026
[DATA] 15600 1751.62 52.128550560501026
[DATA] 15700 1761.91 52.128550560501026
[DATA] 15800 1772.55 52.128550560501026
[DATA] 15900 1782.92 52.128550560501026
[DATA] 16000 1793.31 52.128550560501026
[DATA] 16100 1803.59 52.128550560501026
[DATA] 16200 1813.77 52.128550560501026
[DATA] 16300 1824.3 52.128550560501026
[DATA] 16400 1834.61 52.128550560501026
[DATA] 16500 1845.01 52.128550560501026
[DATA] 16600 1855.24 52.128550560501026
[DATA] 16700 1865.95 52.128550560501026
[DATA] 16800 1876.79 52.128550560501026
[DATA] 16900 1887.78 52.128550560501026
[DATA] 17000 1898.68 52.128550560501026
[DATA] 17100 1908.99 52.128550560501026
[DATA] 17200 1915.2 52.128550560501026
[DATA] 17300 1925.24 52.128550560501026
[DATA] 17400 1935.21 52.128550560501026
[DATA] 17500 1945.34 52.128550560501026
[DATA] 17600 1955.59 52.128550560501026
[DATA] 17700 1965.77 52.128550560501026
[DATA] 17800 1975.82 52.128550560501026
[DATA] 17900 1986.28 52.128550560501026
[DATA] 18000 1996.44 52.128550560501026
[DATA] 18100 2006.53 52.128550560501026
[DATA] 18200 2016.73 52.128550560501026
[DATA] 18300 2027.14 52.128550560501026
[DATA] 18400 2037.66 52.128550560501026
[DATA] 18500 2048.27 52.128550560501026
[DATA] 18600 2058.24 52.128550560501026
[DATA] 18700 2068.61 52.128550560501026
[DATA] 18800 2078.85 52.128550560501026
[DATA] 18900 2089.31 52.128550560501026
[DATA] 19000 2099.49 52.128550560501026
[DATA] 19100 2109.77 52.128550560501026
[DATA] 19200 2119.89 52.128550560501026
[DATA] 19300 2130.28 52.128550560501026
[DATA] 19400 2140.88 52.128550560501026
[DATA] 19500 2151.37 52.128550560501026
[DATA] 19600 2161.52 52.128550560501026
[DATA] 19700 2171.77 52.128550560501026
[DATA] 19800 2182.11 52.128550560501026
[DATA] 19900 2192.32 52.128550560501026
[DATA] 20000 2202.77 52.128550560501026
[DATA] 20100 2212.99 52.128550560501026
[DATA] 20200 2222.88 52.128550560501026
[DATA] 20300 2232.95 52.128550560501026
[DATA] 20400 2242.9 52.128550560501026
[DATA] 20500 2253.05 52.128550560501026
[DATA] 20600 2263.42 52.128550560501026
[DATA] 20700 2273.59 52.128550560501026
[DATA] 20800 2284.0 52.128550560501026
[DATA] 20900 2294.36 52.128550560501026
[DATA] 21000 2304.65 52.128550560501026
[DATA] 21100 2314.73 52.128550560501026
[DATA] 21200 2324.85 52.128550560501026
[DATA] 21300 2334.99 52.128550560501026
[DATA] 21400 2340.86 52.128550560501026
[DATA] 21500 2350.98 52.128550560501026
[DATA] 21600 2361.39 52.128550560501026
[DATA] 21700 2371.82 52.128550560501026
[DATA] 21800 2382.04 52.128550560501026
[DATA] 21900 2392.35 52.128550560501026
[DATA] 22000 2402.84 52.128550560501026
[DATA] 22100 2413.18 52.128550560501026
[DATA] 22200 2423.22 52.128550560501026
[DATA] 22300 2433.24 52.128550560501026
[DATA] 22400 2443.19 52.128550560501026
[DATA] 22500 2453.31 52.128550560501026
[DATA] 22600 2463.42 52.128550560501026
[DATA] 22700 2473.56 52.128550560501026
[DATA] 22800 2484.07 52.128550560501026
[DATA] 22900 2494.3 52.128550560501026
[DATA] 23000 2504.5 52.128550560501026
[DATA] 23100 2514.56 52.128550560501026
[DATA] 23200 2524.83 52.128550560501026
[DATA] 23300 2535.2 52.128550560501026
[DATA] 23400 2545.44 52.128550560501026
[DATA] 23500 2555.72 52.128550560501026
[DATA] 23600 2566.34 52.128550560501026
[DATA] 23700 2576.76 52.128550560501026
[DATA] 23800 2586.86 52.128550560501026
[DATA] 23900 2597.07 52.128550560501026
[DATA] 24000 2607.21 52.128550560501026
[DATA] 24100 2617.59 52.128550560501026
[DATA] 24200 2627.82 52.128550560501026
[DATA] 24300 2637.93 52.128550560501026
[DATA] 24400 2648.11 52.128550560501026
[DATA] 24500 2658.56 52.128550560501026
[DATA] 24600 2668.66 52.128550560501026
[DATA] 24700 2678.96 52.128550560501026
[DATA] 24800 2689.29 52.128550560501026
[DATA] 24900 2699.55 52.128550560501026
[DATA] 25000 2709.73 52.128550560501026
[DATA] 25100 2720.02 52.128550560501026
[DATA] 25200 2730.52 52.128550560501026
[DATA] 25300 2740.82 52.128550560501026
[DATA] 25400 2751.07 52.128550560501026
[DATA] 25500 2761.64 52.128550560501026
[DATA] 25600 2771.84 52.128550560501026
[DATA] 25700 2777.63 52.128550560501026
[DATA] 25800 2788.04 52.128550560501026
[DATA] 25900 2798.37 52.128550560501026
[DATA] 26000 2808.4 52.128550560501026
[DATA] 26100 2818.73 52.128550560501026
[DATA] 26200 2828.86 52.128550560501026
[DATA] 26300 2839.21 52.128550560501026
[DATA] 26400 2849.54 52.128550560501026
[DATA] 26500 2859.87 52.128550560501026
[DATA] 26600 2870.08 52.128550560501026
[DATA] 26700 2880.25 52.128550560501026
[DATA] 26800 2890.45 52.128550560501026
[DATA] 26900 2900.75 52.128550560501026
[DATA] 27000 2910.93 52.128550560501026
[DATA] 27100 2921.38 52.128550560501026
[DATA] 27200 2931.5 52.128550560501026
[DATA] 27300 2941.96 52.128550560501026
[DATA] 27400 2952.09 52.128550560501026
[DATA] 27500 2962.33 52.128550560501026
[DATA] 27600 2972.81 52.128550560501026
[DATA] 27700 2983.23 52.128550560501026
[DATA] 27800 2993.57 52.128550560501026
[DATA] 27900 3003.77 52.128550560501026
[DATA] 28000 3014.19 52.128550560501026
[DATA] 28100 3024.5 52.128550560501026
[DATA] 28200 3034.46 52.128550560501026
[DATA] 28300 3045.0 52.128550560501026
[DATA] 28400 3055.29 52.128550560501026
[DATA] 28500 3065.66 52.128550560501026
[DATA] 28600 3076.09 48.746626552349824
[DATA] 28700 3086.14 53.972008947167616
[DATA] 28800 3096.49 56.0222495055604
[DATA] 28900 3106.9 53.90652990655989
[DATA] 29000 3117.43 48.49828124660502
[DATA] 29100 3127.72 51.46884348215983
[DATA] 29200 3138.11 47.48892205083259
[DATA] 29300 3148.32 55.36716691201205
[DATA] 29400 3158.69 49.14173454466058
[DATA] 29500 3168.9 43.731340158060256
[DATA] 29600 3179.0 55.18253822975761
[DATA] 29700 3189.33 52.43331293296773
[DATA] 29800 3199.86 53.36310067925606
[DATA] 29900 3210.14 51.14532174326931
[DATA] 30000 3216.24 50.65439290383445
[DATA] 30100 3226.41 54.75987890309427
[DATA] 30200 3236.84 50.88283355236863
[DATA] 30300 3247.23 52.4835144479424
[DATA] 30400 3257.51 48.12770946820916
[DATA] 30500 3267.73 51.86196557194826
[DATA] 30600 3278.36 53.45032685413544
[DATA] 30700 3288.54 52.22714393842558
[DATA] 30800 3299.1 54.324372351874665
[DATA] 30900 3309.53 58.513985920187785
[DATA] 31000 3320.31 52.87785386452515
[DATA] 31100 3330.74 51.90937142828287
[DATA] 31200 3341.17 55.286153869564856
[DATA] 31300 3351.6 51.74459235977738
[DATA] 31400 3361.75 44.771103372688955
[DATA] 31500 3372.09 53.03398849196732
[DATA] 31600 3382.26 48.157885145320286
[DATA] 31700 3392.67 53.935840186693184
[DATA] 31800 3402.73 53.31696565693963
[DATA] 31900 3412.84 52.128550560501026
[DATA] 32000 3423.13 52.717616162182495
[DATA] 32100 3433.32 51.97307651796067
[DATA] 32200 3443.48 52.128550560501026
[DATA] 32300 3453.98 52.128550560501026
[DATA] 32400 3464.22 52.128550560501026
[DATA] 32500 3474.46 52.128550560501026
[DATA] 32600 3484.7 51.82347724013194
[DATA] 32700 3495.15 51.85827156096411
[DATA] 32800 3505.37 52.78700007639792
[DATA] 32900 3515.51 52.128550560501026
[DATA] 33000 3525.92 52.128550560501026
[DATA] 33100 3536.16 51.24193499781697
[DATA] 33200 3546.6 51.731917852214664
[DATA] 33300 3556.71 51.20782361238818
[DATA] 33400 3566.96 49.884288495254225
[DATA] 33500 3577.23 51.40286046905612
[DATA] 33600 3587.24 54.17268504568346
[DATA] 33700 3597.58 52.998366359444844
[DATA] 33800 3607.92 48.501853578802866
[DATA] 33900 3617.99 56.06198722558351
[DATA] 34000 3628.54 60.53337802978738
[DATA] 34100 3638.67 48.208697216756406
[DATA] 34200 3644.61 53.43242483288856
[DATA] 34300 3654.55 51.80127410691493
[DATA] 34400 3664.85 52.856266846442395
[DATA] 34500 3674.72 52.128550560501026
[DATA] 34600 3684.87 48.512268311744684
[DATA] 34700 3694.91 52.273330418809785
[DATA] 34800 3705.18 49.578696743593994
[DATA] 34900 3715.28 53.64680362612327
[DATA] 35000 3725.37 52.33867821648229
[DATA] 35100 3735.65 49.620686303974416
[DATA] 35200 3746.04 52.128550560501026
[DATA] 35300 3756.17 52.49617654846354
[DATA] 35400 3766.31 52.403067183608094
[DATA] 35500 3776.49 51.64167375352977
[DATA] 35600 3786.46 51.960980310012
[DATA] 35700 3796.87 52.128550560501026
[DATA] 35800 3807.14 52.069144177414834
[DATA] 35900 3817.48 52.128550560501026
[DATA] 36000 3827.76 52.128550560501026
[DATA] 36100 3837.73 52.128550560501026
[DATA] 36200 3847.74 51.72749562926359
[DATA] 36300 3857.85 48.58047864029747
[DATA] 36400 3868.11 52.2472012308509
[DATA] 36500 3878.28 52.128550560501026
[DATA] 36600 3888.53 52.128550560501026
[DATA] 36700 3898.77 52.128550560501026
[DATA] 36800 3909.13 52.128550560501026
[DATA] 36900 3919.33 52.746172612911394
[DATA] 37000 3929.76 51.52523342078479
[DATA] 37100 3939.88 52.294813721353236
[DATA] 37200 3950.13 52.128550560501026
[DATA] 37300 3960.3 52.128550560501026
[DATA] 37400 3970.63 52.128550560501026
[DATA] 37500 3980.72 52.128550560501026
[DATA] 37600 3991.16 52.128550560501026
[DATA] 37700 4001.41 51.7546512397508
[DATA] 37800 4011.55 52.128550560501026
[DATA] 37900 4021.96 52.128550560501026
[DATA] 38000 4032.36 52.128550560501026
[DATA] 38100 4042.77 52.31601113437188
[DATA] 38200 4053.02 52.128550560501026
[DATA] 38300 4063.12 52.128550560501026
[DATA] 38400 4073.64 52.128550560501026
[DATA] 38500 4079.47 50.64183562120108
[DATA] 38600 4090.0 52.128550560501026
[DATA] 38700 4100.65 52.84146480332018
[DATA] 38800 4111.99 52.128550560501026
[DATA] 38900 4123.23 51.913761166604274
[DATA] 39000 4133.49 55.75428415419512
[DATA] 39100 4143.66 51.92565271091442
[DATA] 39200 4153.77 52.596215837223006
[DATA] 39300 4163.95 53.599253389653
[DATA] 39400 4174.01 53.13688614622242
[DATA] 39500 4183.98 52.128550560501026
[DATA] 39600 4194.27 52.128550560501026
[DATA] 39700 4204.35 52.128550560501026
[DATA] 39800 4214.59 52.128550560501026
[DATA] 39900 4224.73 53.782962877197534
[DATA] 40000 4234.9 52.128550560501026
[DATA] 40100 4244.88 52.128550560501026
[DATA] 40200 4255.13 52.128550560501026
[DATA] 40300 4265.61 52.128550560501026
[DATA] 40400 4275.89 53.5367253117267
[DATA] 40500 4286.26 52.128550560501026
[DATA] 40600 4296.72 52.69426131898645
[DATA] 40700 4307.0 51.08476986162714
[DATA] 40800 4317.28 50.77158220907944
[DATA] 40900 4327.72 52.161451371379265
[DATA] 41000 4338.12 49.93631183739768
[DATA] 41100 4348.52 49.727932219661
[DATA] 41200 4358.67 50.58148134318288
[DATA] 41300 4368.89 50.51093282755886
[DATA] 41400 4378.83 51.37683812040765
[DATA] 41500 4389.05 51.062951442037175
[DATA] 41600 4399.33 51.516556683160815
[DATA] 41700 4409.53 52.128550560501026
[DATA] 41800 4419.64 52.128550560501026
[DATA] 41900 4430.03 52.066707438711255
[DATA] 42000 4440.04 52.128550560501026
[DATA] 42100 4450.31 52.128550560501026
[DATA] 42200 4460.47 52.128550560501026
[DATA] 42300 4470.61 52.128550560501026
[DATA] 42400 4481.04 52.128550560501026
[DATA] 42500 4491.31 52.128550560501026
[DATA] 42600 4501.64 52.128550560501026
[DATA] 42700 4511.66 52.128550560501026
[DATA] 42800 4517.61 52.128550560501026
[DATA] 42900 4528.15 52.128550560501026
[DATA] 43000 4538.33 52.128550560501026
[DATA] 43100 4548.5 52.128550560501026
[DATA] 43200 4558.74 52.442983795973234
[DATA] 43300 4569.35 52.128550560501026
[DATA] 43400 4579.87 52.128550560501026
[DATA] 43500 4590.1 52.90648620747512
[DATA] 43600 4600.3 52.128550560501026
[DATA] 43700 4610.68 52.128550560501026
[DATA] 43800 4620.73 52.128550560501026
[DATA] 43900 4630.79 52.128550560501026
[DATA] 44000 4641.09 52.128550560501026
[DATA] 44100 4651.09 52.128550560501026
[DATA] 44200 4661.34 52.128550560501026
[DATA] 44300 4671.59 52.128550560501026
[DATA] 44400 4682.13 52.128550560501026
[DATA] 44500 4692.35 52.128550560501026
[DATA] 44600 4702.52 52.128550560501026
[DATA] 44700 4713.05 52.128550560501026
[DATA] 44800 4723.54 52.128550560501026
[DATA] 44900 4733.65 52.128550560501026
[DATA] 45000 4743.75 52.128550560501026
[DATA] 45100 4753.92 52.128550560501026
[DATA] 45200 4763.95 52.128550560501026
[DATA] 45300 4773.97 52.128550560501026
[DATA] 45400 4784.45 52.128550560501026
[DATA] 45500 4794.74 52.128550560501026
[DATA] 45600 4804.94 52.128550560501026
[DATA] 45700 4815.06 52.128550560501026
[DATA] 45800 4825.41 52.128550560501026
[DATA] 45900 4835.41 52.128550560501026
[DATA] 46000 4845.77 52.128550560501026
[DATA] 46100 4855.92 52.128550560501026
[DATA] 46200 4866.32 52.128550560501026
[DATA] 46300 4876.43 52.128550560501026
[DATA] 46400 4886.61 52.128550560501026
[DATA] 46500 4897.07 52.128550560501026
[DATA] 46600 4907.32 52.128550560501026
[DATA] 46700 4917.6 52.128550560501026
[DATA] 46800 4927.87 52.128550560501026
[DATA] 46900 4938.1 52.128550560501026
[DATA] 47000 4944.15 52.128550560501026
[DATA] 47100 4954.24 52.128550560501026
[DATA] 47200 4964.59 52.128550560501026
[DATA] 47300 4974.92 52.128550560501026
[DATA] 47400 4985.19 52.128550560501026
[DATA] 47500 4995.44 52.128550560501026
[DATA] 47600 5005.64 52.128550560501026
[DATA] 47700 5015.85 52.128550560501026
[DATA] 47800 5026.11 52.128550560501026
[DATA] 47900 5036.26 52.128550560501026
[DATA] 48000 5046.31 52.128550560501026
[DATA] 48100 5056.43 52.128550560501026
[DATA] 48200 5066.5 52.128550560501026
[DATA] 48300 5076.7 52.128550560501026
[DATA] 48400 5086.93 52.128550560501026
[DATA] 48500 5097.61 52.128550560501026
[DATA] 48600 5107.7 52.128550560501026
[DATA] 48700 5117.95 52.128550560501026
[DATA] 48800 5128.22 52.128550560501026
[DATA] 48900 5138.19 52.128550560501026
[DATA] 49000 5148.55 52.128550560501026
[DATA] 49100 5158.71 52.128550560501026
[DATA] 49200 5169.04 52.128550560501026
[DATA] 49300 5179.55 52.128550560501026
[DATA] 49400 5189.47 52.128550560501026
[DATA] 49500 5199.74 52.128550560501026
[DATA] 49600 5210.0 52.128550560501026
[DATA] 49700 5220.45 52.128550560501026
[DATA] 49800 5230.55 52.128550560501026
[DATA] 49900 5240.75 52.128550560501026
[DATA] 50000 5250.97 52.128550560501026
[DATA] 50100 5261.45 52.128550560501026
[DATA] 50200 5271.57 52.128550560501026
[DATA] 50300 5281.68 52.128550560501026
[DATA] 50400 5291.92 52.128550560501026
[DATA] 50500 5302.37 52.128550560501026
[DATA] 50600 5312.5 52.128550560501026
[DATA] 50700 5322.78 52.128550560501026
[DATA] 50800 5333.16 52.128550560501026
[DATA] 50900 5343.48 52.128550560501026
[DATA] 51000 5353.99 52.128550560501026
[DATA] 51100 5364.27 52.128550560501026
[DATA] 51200 5374.78 52.128550560501026
[DATA] 51300 5380.94 52.128550560501026
[DATA] 51400 5391.16 52.128550560501026
[DATA] 51500 5401.4 52.128550560501026
[DATA] 51600 5411.57 52.128550560501026
[DATA] 51700 5421.99 52.128550560501026
[DATA] 51800 5432.33 52.128550560501026
[DATA] 51900 5442.73 52.128550560501026
[DATA] 52000 5453.05 52.128550560501026
[DATA] 52100 5463.42 52.128550560501026
[DATA] 52200 5473.63 52.128550560501026
[DATA] 52300 5483.91 52.128550560501026
[DATA] 52400 5494.28 52.128550560501026
[DATA] 52500 5504.33 52.128550560501026
[DATA] 52600 5514.34 52.128550560501026
[DATA] 52700 5524.86 52.128550560501026
[DATA] 52800 5534.95 52.128550560501026
[DATA] 52900 5545.17 52.128550560501026
[DATA] 53000 5555.49 52.128550560501026
[DATA] 53100 5565.62 52.128550560501026
[DATA] 53200 5575.81 52.128550560501026
[DATA] 53300 5586.12 52.128550560501026
[DATA] 53400 5596.46 52.128550560501026
[DATA] 53500 5606.81 52.128550560501026
[DATA] 53600 5617.01 52.128550560501026
[DATA] 53700 5627.24 52.128550560501026
[DATA] 53800 5637.28 52.128550560501026
[DATA] 53900 5647.56 52.128550560501026
[DATA] 54000 5658.15 52.128550560501026
[DATA] 54100 5668.18 52.128550560501026
[DATA] 54200 5678.53 52.128550560501026
[DATA] 54300 5688.6 52.128550560501026
[DATA] 54400 5698.98 52.128550560501026
[DATA] 54500 5709.15 52.128550560501026
[DATA] 54600 5719.44 52.128550560501026
[DATA] 54700 5729.55 52.128550560501026
[DATA] 54800 5739.61 52.128550560501026
[DATA] 54900 5749.72 52.128550560501026
[DATA] 55000 5760.17 52.128550560501026
[DATA] 55100 5770.55 52.128550560501026
[DATA] 55200 5780.74 52.128550560501026
[DATA] 55300 5790.96 52.128550560501026
[DATA] 55400 5801.44 52.128550560501026
[DATA] 55500 5811.7 52.128550560501026
[DATA] 55600 5817.84 52.128550560501026
[DATA] 55700 5828.24 52.128550560501026
[DATA] 55800 5838.41 52.128550560501026
[DATA] 55900 5848.58 52.128550560501026
[DATA] 56000 5858.84 52.128550560501026
[DATA] 56100 5868.84 55.907823212793716
[DATA] 56200 5878.91 52.076099765244614
[DATA] 56300 5888.99 47.58346542159707
[DATA] 56400 5899.44 50.64981004741509
[DATA] 56500 5909.79 52.128550560501026
[DATA] 56600 5919.95 53.81521045532545
[DATA] 56700 5929.97 51.79980034822907
[DATA] 56800 5940.38 49.45737999901809
[DATA] 56900 5950.59 52.06133087233038
[DATA] 57000 5960.43 52.128550560501026
[DATA] 57100 5970.76 52.128550560501026
[DATA] 57200 5980.75 52.133000839805554
[DATA] 57300 5990.86 53.0427650985595
