***********************************************************
[INFO] TRAINING ON RANDOM INSTANCES: TSPTW
[INFO] n_city: 50
[INFO] grid_size: 100
[INFO] max_tw_gap: 10
[INFO] max_tw_size: 100
[INFO] seed: 1
***********************************************************
[INFO] TRAINING PARAMETERS
[INFO] Algorithm: PPO
[INFO] learning rate: 0.000100
[INFO] eps_clip: 0.100000
[INFO] entropy_value: 0.001000
[INFO] hidden_layer: 4
[INFO] k_epochs: 3
[INFO] batch_size: 256
[INFO] update_timestep: 2048
[INFO] latent_dim: 128
***********************************************************
***********************************************************
[INFO] NUMBER OF FEATURES
[INFO] n_node_feat: 4
[INFO] n_edge_feat: 5
***********************************************************
[INFO] iter time avg_reward_learning
[DATA] 0 196.09 -2.6131628143840238
[DATA] 10 406.36 -2.6052095992060424
[DATA] 20 622.53 -2.611869259586218
[DATA] 30 839.16 -2.6176864381186933
[DATA] 40 1057.31 -2.6012655688918436
[DATA] 50 1558.28 -2.5829248065308748
[DATA] 60 1772.67 -2.5989581656741088
[DATA] 70 1990.48 -2.593814227720662
[DATA] 80 2205.97 -2.617413037061401
[DATA] 90 2696.47 -2.5986025152788943
[DATA] 100 2911.16 -2.607053059414148
[DATA] 200 3772.9 -2.61903617224701
[DATA] 300 4910.73 -2.6127065249076242
[DATA] 400 5769.19 -2.6035272175723385
[DATA] 500 6626.84 -2.61663612849334
[DATA] 600 7767.25 -2.60690978143275
[DATA] 700 8629.89 -2.6079677108260926
[DATA] 800 9762.11 -2.6150333830856187
[DATA] 900 10620.55 -2.5846978180087974
[DATA] 1000 11475.22 -2.6016310425102374
[DATA] 1100 12612.03 -2.5596495861605204
[DATA] 1200 13469.61 -2.5249855753084374
[DATA] 1300 14600.92 -2.4374763786143068
[DATA] 1400 15458.62 -2.2711508715087505
[DATA] 1500 16315.85 -2.159490020771587
[DATA] 1600 17465.82 -1.9460421876367957
[DATA] 1700 18340.67 -1.8094732552952417
[DATA] 1800 19473.6 -1.6700445395813552
[DATA] 1900 20331.13 -1.584995855029421
[DATA] 2000 21187.97 -1.501936788400801
[DATA] 2100 22322.08 -1.335774846894509
[DATA] 2200 23181.02 -1.2395993279591917
[DATA] 2300 24314.9 -1.1433355131258152
[DATA] 2400 25173.48 -1.1074470277626423
[DATA] 2500 26030.74 -1.0368790583874434
[DATA] 2600 27167.08 -0.9597932246078354
[DATA] 2700 28027.3 -0.9212020435730343
[DATA] 2800 29160.88 -0.880264293789945
[DATA] 2900 30020.13 -0.8461392752545669
[DATA] 3000 30878.95 -0.817409248551845
[DATA] 3100 32015.97 -0.8125377418958819
[DATA] 3200 32874.71 -0.7947227068700627
[DATA] 3300 33733.61 -0.7917071759994708
[DATA] 3400 34869.27 -0.7604083704718161
[DATA] 3500 35728.73 -0.7560773851847774
[DATA] 3600 36863.01 -0.7411546108819606
[DATA] 3700 37721.24 -0.7343227238787057
[DATA] 3800 38578.72 -0.7329547868047664
[DATA] 3900 39730.29 -0.7220992098660701
[DATA] 4000 40607.67 -0.7222961707823582
[DATA] 4100 41744.01 -0.7144082273974925
[DATA] 4200 42601.69 -0.7099747620484688
[DATA] 4300 43463.23 -0.7120844777027905
[DATA] 4400 44598.49 -0.7016915115376305
[DATA] 4500 45455.59 -0.7012626242413187
[DATA] 4600 46593.72 -0.6967373635342448
[DATA] 4700 47455.03 -0.6893486358212659
[DATA] 4800 48313.69 -0.6883371457375543
[DATA] 4900 49448.02 -0.6793705479879601
[DATA] 5000 50306.02 -0.6818307943944611
[DATA] 5100 51438.31 -0.6797661658142023
[DATA] 5200 52295.43 -0.677558075366074
[DATA] 5300 53160.62 -0.6733847198492616
[DATA] 5400 54302.14 -0.6727122270180999
[DATA] 5500 55161.15 -0.6705403006218191
[DATA] 5600 56295.72 -0.6732812629898203
[DATA] 5700 57154.05 -0.6694427847830761
[DATA] 5800 58012.89 -0.6744634424808672
[DATA] 5900 59147.83 -0.6739448756052692
[DATA] 6000 60008.69 -0.6719545151330005
[DATA] 6100 60869.97 -0.6669420039868842
[DATA] 6200 62023.71 -0.6653089870005513
[DATA] 6300 62905.76 -0.6663479438214783
[DATA] 6400 64041.35 -0.673621490204338
[DATA] 6500 64902.69 -0.6665662225472733
[DATA] 6600 65764.47 -0.6660096332368863
[DATA] 6700 66893.75 -0.6658735138354186
[DATA] 6800 67757.51 -0.6667227985212311
[DATA] 6900 68888.82 -0.6640162171914245
[DATA] 7000 69748.33 -0.6639888964239233
[DATA] 7100 70608.78 -0.6623945648221523
[DATA] 7200 71741.5 -0.6570264680294226
[DATA] 7300 72598.87 -0.6596877098970496
[DATA] 7400 73735.2 -0.6586778084413732
[DATA] 7500 74594.03 -0.6602928867209253
[DATA] 7600 75451.93 -0.6625080591956524
[DATA] 7700 76584.09 -0.6622802390113358
[DATA] 7800 77438.51 -0.6603912231622923
[DATA] 7900 78568.39 -0.6571030688769187
[DATA] 8000 79428.65 -0.6541790893251788
[DATA] 8100 80283.11 -0.6543038335658653
[DATA] 8200 81413.76 -0.6555047429718135
[DATA] 8300 82272.72 -0.6545830596633637
[DATA] 8400 83404.27 -0.6546590765975524
[DATA] 8500 84226.78 -0.6555772494131057
[DATA] 8600 85027.93 -0.6493182158792772
[DATA] 8700 86089.93 -0.6487650559815904
[DATA] 8800 86886.1 -0.6484113483038669
[DATA] 8900 87675.95 -0.6511843388549066
[DATA] 9000 88735.44 -0.6461586315704945
[DATA] 9100 89534.7 -0.6491182575256156
[DATA] 9200 90669.15 -0.6465536843599224
[DATA] 9300 91522.25 -0.6498114462908228
[DATA] 9400 92374.9 -0.6512472812384661
[DATA] 9500 93507.21 -0.6477390327631318
[DATA] 9600 94374.58 -0.6477823464047618
[DATA] 9700 95512.99 -0.6458994665479786
[DATA] 9800 96367.57 -0.6458933238982812
[DATA] 9900 97218.55 -0.6483888130940899
[DATA] 10000 98351.24 -0.6444405204698466
[DATA] 10100 99207.79 -0.6423133001266954
[DATA] 10200 100335.41 -0.6487652599028544
[DATA] 10300 101192.74 -0.6483372614069585
[DATA] 10400 102047.16 -0.6453270312824003
[DATA] 10500 103180.54 -0.6467801590272209
[DATA] 10600 104031.37 -0.6489283261886613
[DATA] 10700 105167.59 -0.6473335794308122
[DATA] 10800 106019.59 -0.6470667693894733
[DATA] 10900 106912.51 -0.6470445426648284
[DATA] 11000 108056.57 -0.6444409648553077
[DATA] 11100 108912.9 -0.6490555587769389
[DATA] 11200 109769.16 -0.6426724007011444
[DATA] 11300 110920.07 -0.6431702250504441
[DATA] 11400 111793.62 -0.643050325238989
[DATA] 11500 112929.53 -0.6447998148238413
[DATA] 11600 113783.96 -0.6421775697622665
[DATA] 11700 114641.73 -0.6431890847372915
[DATA] 11800 115784.24 -0.6444442783851262
[DATA] 11900 116640.72 -0.6434275017171689
[DATA] 12000 117785.76 -0.6431221208367635
[DATA] 12100 118650.07 -0.6422339102966031
[DATA] 12200 119511.59 -0.6460258462963655
[DATA] 12300 120651.8 -0.6433464486161737
[DATA] 12400 121510.41 -0.6419861535868718
[DATA] 12500 122646.94 -0.6428138618761562
[DATA] 12600 123502.07 -0.6432681819466388
[DATA] 12700 124359.17 -0.6432022778961783
[DATA] 12800 125492.57 -0.6416434013634418
[DATA] 12900 126354.32 -0.6383294948275465
[DATA] 13000 127494.6 -0.6419134349812045
[DATA] 13100 128357.21 -0.6412889896007404
[DATA] 13200 129252.62 -0.6386801179350736
[DATA] 13300 130394.48 -0.6384001698148153
[DATA] 13400 131256.76 -0.6391769856527637
[DATA] 13500 132391.7 -0.6440375669248128
[DATA] 13600 133248.12 -0.6403143804984207
[DATA] 13700 134115.23 -0.6419743250327068
[DATA] 13800 135251.33 -0.6419681382006156
[DATA] 13900 136124.55 -0.6408282827139453
[DATA] 14000 136981.61 -0.6429426285060689
[DATA] 14100 138125.76 -0.6421601772846462
[DATA] 14200 138988.49 -0.6444362715057598
[DATA] 14300 140110.41 -0.6417430772187356
[DATA] 14400 140977.4 -0.6427861371586152
[DATA] 14500 141840.15 -0.6434378761847074
[DATA] 14600 142976.54 -0.6415337582331826
[DATA] 14700 143842.77 -0.641287433312875
[DATA] 14800 144984.51 -0.6418289287593099
[DATA] 14900 145845.44 -0.6399214711453498
[DATA] 15000 146705.94 -0.643957284822907
[DATA] 15100 147848.54 -0.643443994167657
[DATA] 15200 148711.98 -0.6384666518591733
[DATA] 15300 149854.64 -0.6409074549106484
[DATA] 15400 150716.4 -0.6401806827064677
[DATA] 15500 151608.91 -0.6402119446923774
[DATA] 15600 152748.64 -0.6354467288841676
[DATA] 15700 153610.04 -0.6402640377069432
[DATA] 15800 154750.13 -0.6412656852257059
[DATA] 15900 155614.0 -0.6389281205475329
[DATA] 16000 156476.31 -0.6420061925741142
[DATA] 16100 157613.52 -0.6410239840494273
[DATA] 16200 158479.1 -0.641527022238164
[DATA] 16300 159617.37 -0.639239071095012
[DATA] 16400 160482.25 -0.6405372237997108
[DATA] 16500 161348.43 -0.6427655149573451
[DATA] 16600 162492.9 -0.6415272315947637
[DATA] 16700 163356.44 -0.6441049763136302
[DATA] 16800 164216.64 -0.6500343001605369
[DATA] 16900 165359.63 -0.6481941262067233
[DATA] 17000 166224.97 -0.646190382107093
[DATA] 17100 167361.98 -0.6417322006923218
[DATA] 17200 168223.8 -0.6461586044833045
[DATA] 17300 169085.7 -0.647445983290201
[DATA] 17400 170225.23 -0.6471590078607883
[DATA] 17500 171088.02 -0.6485880590018123
[DATA] 17600 172225.44 -0.6477975260470127
[DATA] 17700 173089.91 -0.6515563459014903
[DATA] 17800 173966.25 -0.6490210797700945
[DATA] 17900 175100.08 -0.6445365842565964
[DATA] 18000 175956.06 -0.6481460874804383
[DATA] 18100 177099.41 -0.6491309358732564
[DATA] 18200 177956.08 -0.6478447632632286
[DATA] 18300 178814.45 -0.6448544581797564
